"item","avg_rating","rank","rating_sd","number_ratings","character"
"🥵 (not 🥶)",60.8,710,27.4,130,"Luke Skywalker"
"water (not fire)",60.8,483,32.1,108,"Luke Skywalker"
"direct (not roundabout)",60.6,1108,26.9,930,"Luke Skywalker"
"bright (not depressed)",60.4,646,24.5,847,"Luke Skywalker"
"basic (not hipster)",60.3,822,28.1,971,"Luke Skywalker"
"chatty (not reserved)",60.1,762,26.9,1026,"Luke Skywalker"
"😜 (not 🤐)",60.1,674,27.2,239,"Luke Skywalker"
"metrosexual (not macho)",60,909,27.9,128,"Luke Skywalker"
"stoic (not hypochondriac)",60,847,29.6,81,"Luke Skywalker"
"modest (not flamboyant)",59.9,829,29,1010,"Luke Skywalker"
"bad-cook (not good-cook)",59.9,638,28.8,88,"Luke Skywalker"
"f***-the-police (not tattle-tale)",59.8,1005,28.5,116,"Luke Skywalker"
"twitchy (not still)",59.6,915,25.2,143,"Luke Skywalker"
"whimsical (not rational)",59.5,579,25.7,972,"Luke Skywalker"
"political (not nonpolitical)",59.2,823,30.4,908,"Luke Skywalker"
"👩‍🎤 (not 👩‍🔬)",59.2,801,28.9,271,"Luke Skywalker"
"exaggerating (not factual)",59.2,747,26.3,119,"Luke Skywalker"
"natural-talent (not hard-work)",59.2,378,29.3,147,"Luke Skywalker"
"sheltered (not street-smart)",59.1,520,30.1,919,"Luke Skywalker"
"pensive (not serene)",59.1,1307,26.6,99,"Luke Skywalker"
"🏀 (not 🎨)",59,594,30.9,123,"Luke Skywalker"
"forward-thinking (not stuck-in-the-past)",59,789,27.5,120,"Luke Skywalker"
"traumatized (not flourishing)",58.9,1071,27.6,126,"Luke Skywalker"
"🐒 (not 🐩)",58.8,626,29.2,267,"Luke Skywalker"
"common sense (not analysis)",58.8,411,27.9,76,"Luke Skywalker"
"boy/girl-next-door (not celebrity)",58.8,1027,33.8,101,"Luke Skywalker"
"giggling (not chortling)",58.6,408,25.1,121,"Luke Skywalker"
"air (not earth)",58.4,324,34.4,108,"Luke Skywalker"
"demure (not vain)",58.3,692,25.2,947,"Luke Skywalker"
"imaginative (not practical)",58.3,535,28,902,"Luke Skywalker"
"penny-pincher (not overspender)",58.3,836,26,345,"Luke Skywalker"
"nerd (not jock)",58.2,974,26.3,978,"Luke Skywalker"
"literary (not mathematical)",58.2,983,26.6,860,"Luke Skywalker"
"dorky (not cool)",58.1,665,25.8,269,"Luke Skywalker"
"fast-talking (not slow-talking)",58.1,1041,25.3,121,"Luke Skywalker"
"glad (not mad)",58,611,24.1,238,"Luke Skywalker"
"off-key (not musical)",57.9,794,24.6,127,"Luke Skywalker"
"self-disciplined (not disorganized)",57.7,1276,27.6,1009,"Luke Skywalker"
"touchy-feely (not distant)",57.7,647,27.9,78,"Luke Skywalker"
"warm (not quarrelsome)",57.6,701,26.5,982,"Luke Skywalker"
"feisty (not gracious)",57.6,1181,26.1,885,"Luke Skywalker"
"communal (not individualist)",57.6,466,29.4,206,"Luke Skywalker"
"social (not reclusive)",57.6,880,27.1,456,"Luke Skywalker"
"indie (not pop)",57.5,1076,32.8,89,"Luke Skywalker"
"predictable (not quirky)",57.4,652,29,77,"Luke Skywalker"
"modern (not historical)",57.3,923,27.7,668,"Luke Skywalker"
"subjective (not objective)",57.3,646,28.6,195,"Luke Skywalker"
"literal (not metaphorical)",57.1,1047,28.6,985,"Luke Skywalker"
"lowbrow (not highbrow)",57,417,25.9,887,"Luke Skywalker"
"tactful (not indiscreet)",56.9,1093,27,250,"Luke Skywalker"
"messy (not neat)",56.8,599,25,696,"Luke Skywalker"
"valedictorian (not drop out)",56.8,1163,30.4,311,"Luke Skywalker"
"👨‍🚀 (not 🧙)",56.8,715,32.7,444,"Luke Skywalker"
"cocky (not timid)",56.8,1311,25.4,78,"Luke Skywalker"
"socialist (not libertarian)",56.7,319,31.6,857,"Luke Skywalker"
"coordinated (not clumsy)",56.7,1199,27.8,1007,"Luke Skywalker"
"funny (not humorless)",56.7,1014,24.9,1018,"Luke Skywalker"
"😀 (not 😭)",56.6,738,28.6,297,"Luke Skywalker"
"playful (not shy)",56.4,1265,25,975,"Luke Skywalker"
"unassuming (not pretentious)",56.4,599,29.7,265,"Luke Skywalker"
"😏 (not 😬)",56.3,953,30.1,269,"Luke Skywalker"
"backdoor (not official)",56.2,891,29,1017,"Luke Skywalker"
"wild (not tame)",56.1,1062,26,1037,"Luke Skywalker"
"joyful (not miserable)",56.1,619,25.7,277,"Luke Skywalker"
"domestic (not industrial)",56,698,28.5,202,"Luke Skywalker"
"pro (not noob)",56,1379,29.4,314,"Luke Skywalker"
"profound (not ironic)",56,721,27.7,113,"Luke Skywalker"
"cooperative (not competitive)",55.9,608,30.5,1027,"Luke Skywalker"
"focused on the future (not focused on the present)",55.9,643,29.8,972,"Luke Skywalker"
"open (not guarded)",55.9,355,27.7,935,"Luke Skywalker"
"chaotic (not orderly)",55.8,805,26.2,1057,"Luke Skywalker"
"meek (not bossy)",55.8,482,23.4,985,"Luke Skywalker"
"reliable (not experimental)",55.8,935,31,137,"Luke Skywalker"
"tardy (not on-time)",55.7,545,29.4,138,"Luke Skywalker"
"long-winded (not concise)",55.7,678,27.6,61,"Luke Skywalker"
"humble (not arrogant)",55.6,750,27.7,1033,"Luke Skywalker"
"conspiracist (not sheeple)",55.6,1214,25.8,639,"Luke Skywalker"
"perceptive (not unobservant)",55.6,1559,29.6,146,"Luke Skywalker"
"sturdy (not flimsy)",55.5,1271,27.3,123,"Luke Skywalker"
"awkward (not charming)",55.4,584,26.1,1082,"Luke Skywalker"
"foolish (not wise)",55.4,666,23.5,990,"Luke Skywalker"
"Greek (not Roman)",55.4,544,30.1,122,"Luke Skywalker"
"oppressed (not privileged)",55.4,559,27.2,116,"Luke Skywalker"
"scruffy (not manicured)",55.3,646,28.2,1116,"Luke Skywalker"
"smooth (not rough)",55.2,850,25.2,961,"Luke Skywalker"
"intimate (not formal)",55.1,873,26.5,411,"Luke Skywalker"
"stuttering (not rhythmic)",55.1,370,25.5,121,"Luke Skywalker"
"haunted (not blissful)",55.1,1252,29.6,132,"Luke Skywalker"
"poetic (not factual)",55,685,28.4,131,"Luke Skywalker"
"asexual (not sexual)",54.9,499,28.4,122,"Luke Skywalker"
"artistic (not scientific)",54.8,847,25.7,982,"Luke Skywalker"
"bashful (not exhibitionist)",54.8,518,30.3,127,"Luke Skywalker"
"politically correct (not edgy)",54.7,719,27.2,937,"Luke Skywalker"
"anarchist (not statist)",54.7,783,28.7,376,"Luke Skywalker"
"👻 (not 🤖)",54.7,896,29,256,"Luke Skywalker"
"low self esteem (not narcissistic)",54.7,620,25.5,143,"Luke Skywalker"
"gatherer (not hunter)",54.7,789,31,110,"Luke Skywalker"
"desperate (not high standards)",54.7,600,29.3,137,"Luke Skywalker"
"sheriff (not outlaw)",54.5,902,30.2,988,"Luke Skywalker"
"fighter (not lover)",54.5,885,32.3,126,"Luke Skywalker"
"confident (not insecure)",54.2,1295,26,999,"Luke Skywalker"
"real (not philosophical)",54.2,1240,28.6,717,"Luke Skywalker"
"specialist (not generalist)",54.2,1158,29.5,193,"Luke Skywalker"
"extrovert (not introvert)",54.1,1043,28.6,952,"Luke Skywalker"
"captain (not first-mate)",54,924,32.1,1149,"Luke Skywalker"
"regular (not zany)",54,723,27,254,"Luke Skywalker"
"normie (not freak)",53.6,787,26.8,116,"Luke Skywalker"
"serious (not playful)",53.5,1118,25.3,1035,"Luke Skywalker"
"repetitive (not varied)",53.5,1110,26.8,398,"Luke Skywalker"
"multicolored (not monochrome)",53.5,858,31.6,182,"Luke Skywalker"
"consistent (not variable)",53.5,1147,30.5,120,"Luke Skywalker"
"decisive (not hesitant)",53.4,1350,27.2,941,"Luke Skywalker"
"reactive (not proactive)",53.4,980,30.2,92,"Luke Skywalker"
"lighthearted (not intense)",53.2,539,28.8,135,"Luke Skywalker"
"tight (not loose)",53.1,1271,26.9,121,"Luke Skywalker"
"attentive (not interrupting)",53.1,981,29.8,119,"Luke Skywalker"
"radical (not centrist)",53.1,1017,30.5,102,"Luke Skywalker"
"simple (not complicated)",53,473,29.9,927,"Luke Skywalker"
"'right-brained' (not 'left-brained')",53,594,27.4,598,"Luke Skywalker"
"apprentice (not master)",53,611,30.4,433,"Luke Skywalker"
"💪 (not 🧠)",53,549,29.1,318,"Luke Skywalker"
"🐘 (not 🐀)",53,881,31.1,381,"Luke Skywalker"
"pain-avoidant (not masochistic)",53,871,28.9,118,"Luke Skywalker"
"self-conscious (not self-assured)",52.9,523,27.2,858,"Luke Skywalker"
"unorthodox (not traditional)",52.9,1071,31,217,"Luke Skywalker"
"sensible (not ludicrous)",52.8,1151,26.6,938,"Luke Skywalker"
"stylish (not slovenly)",52.8,1230,26,918,"Luke Skywalker"
"arcane (not mainstream)",52.6,1108,29.8,881,"Luke Skywalker"
"gregarious (not private)",52.5,662,28.3,918,"Luke Skywalker"
"💃 (not 🧕)",52.5,1262,29.4,400,"Luke Skywalker"
"genius (not dunce)",52.3,1392,22.1,1077,"Luke Skywalker"
"👽 (not 🤡)",52.3,1064,27.8,230,"Luke Skywalker"
"concrete (not abstract)",52.1,1137,28.1,265,"Luke Skywalker"
"mischievous (not well behaved)",52,1120,28.5,990,"Luke Skywalker"
"compersive (not jealous)",52,945,26.5,867,"Luke Skywalker"
"oblivious (not alert)",52,620,29.2,285,"Luke Skywalker"
"classical (not avant-garde)",51.9,1111,30.5,170,"Luke Skywalker"
"🦄 (not 🐴)",51.9,784,34.7,280,"Luke Skywalker"
"linear (not circular)",51.9,963,29.4,104,"Luke Skywalker"
"transient (not permanent)",51.8,758,30.7,350,"Luke Skywalker"
"studious (not goof-off)",51.8,1325,28.2,309,"Luke Skywalker"
"👟 (not 🥾)",51.8,964,34.8,296,"Luke Skywalker"
"blacksmith (not tailor)",51.8,717,30.6,136,"Luke Skywalker"
"moist (not dry)",51.8,938,31,126,"Luke Skywalker"
"deviant (not average)",51.7,1232,28.5,720,"Luke Skywalker"
"extreme (not moderate)",51.6,1250,27.4,864,"Luke Skywalker"
"prudish (not flirtatious)",51.6,851,28.4,92,"Luke Skywalker"
"normal (not weird)",51.5,731,27.1,1082,"Luke Skywalker"
"independent (not codependent)",51.5,1262,30.3,1106,"Luke Skywalker"
"always down (not picky)",51.5,713,30.4,80,"Luke Skywalker"
"dominant (not submissive)",51.4,1317,26.2,1019,"Luke Skywalker"
"offended (not chill)",51.4,1150,27.2,133,"Luke Skywalker"
"pacifist (not ferocious)",51.3,756,26.1,1013,"Luke Skywalker"
"lost (not enlightened)",51.3,1048,28.8,127,"Luke Skywalker"
"loud (not quiet)",51.2,1044,26.3,991,"Luke Skywalker"
"sad (not happy)",51.1,1254,22.8,987,"Luke Skywalker"
"knowledgeable (not ignorant)",51.1,1470,26.7,148,"Luke Skywalker"
"🥳 (not 🥴)",51,796,28.5,251,"Luke Skywalker"
"oxymoron (not tautology)",51,1312,27.7,60,"Luke Skywalker"
"sorrowful (not cheery)",50.1,1237,25,1001,"Luke Skywalker"
"precise (not vague)",50.8,1402,25.6,645,"Luke Skywalker"
"theoretical (not empirical)",50.7,724,29.4,834,"Luke Skywalker"
"Pepsi (not Coke)",50.7,860,36,99,"Luke Skywalker"
"sugarcoated (not frank)",50.4,411,27.4,79,"Luke Skywalker"
"beta (not alpha)",50.5,740,29,827,"Luke Skywalker"
"contrarian (not yes-man)",50.5,1306,28.9,86,"Luke Skywalker"
"washed (not muddy)",50.5,1280,28.1,81,"Luke Skywalker"
"heroic (not villainous)",93.8,22,10.6,1081,"Princess Leia"
"persistent (not quitter)",93,152,11.3,310,"Princess Leia"
